Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
4.588;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;483;53;1;500;133;    ;0;150;88;1;150;115;    
4.620;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;482;55;1;500;136;    ;0;150;88;1;150;115;    
4.656;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;482;53;1;500;133;    ;0;150;88;1;150;116;    
4.688;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;481;55;1;500;136;    ;0;150;88;1;150;115;    
4.718;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;481;53;1;500;131;    ;0;150;89;1;150;116;    
4.756;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;480;53;1;500;133;    ;0;150;88;1;150;115;    
4.788;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;480;53;1;500;133;    ;0;150;88;1;150;115;    
4.820;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;479;53;1;500;133;    ;0;150;88;1;150;115;    
4.856;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;479;55;1;500;136;    ;0;150;88;1;150;115;    
4.888;    ;1;228;48;1;88;45;    ;0;478;53;1;500;133;    ;0;150;88;1;150;116;    
4.920;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;478;53;1;500;133;    ;1;150;115;    
4.957;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;478;53;1;500;133;    ;0;150;88;1;150;115;    
4.987;    ;1;228;48;1;88;45;    ;0;477;53;1;500;133;    ;0;150;88;1;150;115;    
5.020;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;477;53;1;500;133;    ;1;150;115;    
5.056;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;477;55;1;500;136;    ;0;150;88;1;150;115;    
5.091;    ;1;228;48;1;88;45;    ;0;476;53;1;500;133;    ;0;150;89;1;150;116;    
5.118;    ;1;228;48;1;88;45;    ;0;476;53;1;500;133;    ;1;150;115;    
5.156;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;476;53;1;500;133;    ;1;150;115;    
5.188;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;476;53;1;500;133;    ;0;150;88;1;150;115;    
5.220;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;475;53;1;500;133;    ;0;150;89;1;150;115;    
5.256;    ;1;228;48;1;88;45;    ;0;475;53;1;500;133;    ;0;150;88;1;150;115;    
5.289;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;475;53;1;500;133;    ;1;150;115;    
