3.500;267;331;300;200
3.519;267;332;300;132
3.554;267;331;300;132
3.586;267;331;300;132
3.618;267;331;300;132
3.654;268;332;300;132
3.687;269;332;300;132
3.718;271;331;300;132
3.755;273;331;300;132
3.787;276;331;300;132
3.819;278;331;300;132
4.687;345;317;300;132
4.719;345;317;200;199
4.755;345;317;300;132
4.787;345;317;300;132
4.819;345;317;300;132
4.855;345;317;300;132
4.887;345;317;300;132
4.919;345;317;300;132
4.960;345;317;300;132
4.988;345;317;300;132
5.019;345;317;300;132
5.055;345;317;300;132
5.087;345;317;300;132
5.119;345;317;300;132
5.155;345;317;300;132
5.187;345;317;300;132
5.219;345;317;300;132
5.255;345;317;300;132
5.287;345;317;300;132
5.319;345;317;300;132
5.355;345;317;300;132
5.387;345;317;300;132
5.419;345;317;300;132
5.455;345;317;300;132
5.488;345;317;300;132
5.519;345;317;300;132
5.555;345;317;300;132
5.587;345;317;300;132
5.619;345;317;300;132
5.656;345;317;300;132
5.687;345;317;300;132
5.719;345;317;300;132
5.755;345;317;300;132
5.786;345;317;300;132
5.819;345;317;300;132
5.855;345;317;300;132
5.887;345;317;300;132
5.919;345;317;300;132
5.955;345;317;300;132
5.987;345;317;300;132
6.019;345;317;300;132
6.055;345;317;300;132
6.087;345;317;300;132
6.119;345;317;300;132
6.155;345;317;300;132
6.187;345;317;300;132
6.219;345;317;300;132
6.255;345;317;300;132
6.286;345;317;300;132
6.319;345;317;300;132
