Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
3.091;    ;1;630;62;-2;91;46;    ;300;200;    ;0;0;    
3.109;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.139;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.177;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.205;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.238;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.275;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.309;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.342;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.380;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.408;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.441;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.477;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.510;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.554;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.583;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.608;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.637;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.678;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.710;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
3.742;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.779;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.810;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.838;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.877;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.904;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.938;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
3.977;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.010;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
4.037;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
4.077;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
4.110;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.138;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.175;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.208;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.238;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.273;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
4.309;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
4.342;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
4.378;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.404;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.437;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.477;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.509;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.544;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
4.577;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
4.606;    ;1;630;62;-2;91;46;    ;300;200;    ;1;0;125;    
4.637;    ;1;630;62;-2;90;46;    ;300;200;    ;1;0;125;    
