Time (s);    ;car_position;   ;input;    ;command;   ;treadmill;     ;obstacles;
4.644;    ;0;664;63;0;0;0;1;660;144;2;0;0;2;560;292;0;94;39;    ;300;200;    ;0;0;    ;    ;
4.667;    ;0;664;63;6;0;0;1;660;144;0;0;0;2;560;292;0;94;39;    ;0;500;240;1;500;240;2;500;240;    ;0;0;115;1;0;136;2;0;70;    ;353;190;90;33;114;190;270;350;    ;
4.690;    ;0;664;63;1;0;0;1;660;144;1;0;0;2;560;292;0;94;39;    ;0;500;73;1;500;152;2;500;310;    ;0;0;115;1;0;122;2;150;92;    ;353;190;90;33;114;190;270;350;    ;
4.713;    ;0;664;63;8;0;0;1;660;144;2;0;0;2;560;292;0;94;39;    ;0;500;73;1;500;152;2;500;309;    ;0;0;87;1;0;108;2;0;103;    ;353;190;90;33;114;190;270;349;    ;
4.748;    ;0;664;63;8;0;0;1;660;144;1;0;0;2;559;292;0;94;40;    ;0;500;73;1;500;152;2;500;309;    ;0;0;94;1;0;109;2;0;102;    ;353;190;90;33;114;190;270;349;    ;
4.775;    ;0;664;63;8;0;0;1;660;144;1;0;0;2;557;292;0;94;40;    ;0;500;73;1;500;152;2;500;309;    ;0;0;94;1;0;108;2;0;102;    ;353;190;90;33;114;192;270;349;    ;
4.830;    ;1;660;144;1;0;0;2;554;293;0;95;42;    ;0;500;73;1;500;153;2;500;309;    ;0;0;94;1;0;108;2;0;102;    ;353;190;90;33;114;191;270;349;    ;
4.855;    ;0;664;63;8;0;0;1;660;144;1;0;0;2;550;293;0;94;43;    ;0;500;73;1;500;153;2;500;309;    ;1;0;108;2;0;102;    ;353;190;90;33;114;191;270;349;    ;
4.884;    ;0;664;63;9;0;0;1;660;144;2;0;0;2;546;293;0;94;45;    ;0;500;73;1;500;152;2;500;309;    ;0;0;94;1;0;108;2;0;102;    ;353;190;90;33;114;191;270;349;    ;
4.918;    ;0;664;63;11;0;0;1;660;144;4;0;0;2;541;293;0;94;46;    ;0;500;73;1;500;152;2;500;309;    ;0;0;95;1;0;109;2;0;102;    ;353;190;90;33;114;191;270;349;    ;
4.948;    ;0;664;63;11;0;0;1;660;144;5;0;0;2;535;293;-15;94;49;    ;0;500;73;1;500;152;2;500;309;    ;0;0;97;1;0;111;2;0;102;    ;353;190;90;33;114;191;270;350;    ;
4.979;    ;0;664;63;11;0;0;1;660;144;6;0;0;2;528;292;-18;93;50;    ;0;500;73;1;500;152;2;500;310;    ;0;0;97;1;0;112;2;3;88;    ;353;190;90;33;114;191;271;350;    ;
5.020;    ;1;660;144;7;0;0;2;521;291;-21;94;50;    ;0;500;73;1;500;152;2;500;310;    ;0;0;97;1;0;113;2;9;86;    ;353;190;90;33;114;191;271;350;    ;
5.050;    ;0;664;63;13;0;0;1;660;144;3;0;0;2;514;289;-26;93;50;    ;0;500;73;1;500;152;2;500;310;    ;1;0;114;2;6;83;    ;353;190;90;33;114;191;271;350;    ;
5.082;    ;1;660;144;6;0;0;2;506;287;-29;93;49;    ;0;500;73;1;500;152;2;500;310;    ;0;0;99;1;0;110;2;18;78;    ;353;190;90;33;117;191;271;350;    ;
5.119;    ;0;664;63;11;0;0;1;660;144;6;0;0;2;499;284;-32;93;50;    ;0;500;73;1;500;152;2;500;310;    ;1;0;113;2;22;75;    ;353;190;90;33;114;191;272;349;    ;
