Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
3.673;    ;0;318;62;-2;98;50;1;364;172;12;0;0;    ;300;200;    ;0;0;    
3.720;    ;0;318;62;-1;98;50;1;364;171;12;0;0;    ;0;499;71;1;500;159;    ;0;150;101;1;150;120;    ;376;170;50;376;170;50;569;149;28;331;67;50;583;59;28
3.765;    ;0;318;62;-1;98;50;1;364;172;12;0;0;    ;0;500;159;1;500;333;    ;0;150;86;1;150;115;    ;376;170;50;376;170;50;569;149;28;331;67;50;583;59;28
3.809;    ;0;318;62;-2;98;50;1;364;172;12;0;0;    ;0;500;246;1;500;332;    ;0;63;97;1;43;125;    ;376;170;50;376;170;50;569;151;28;331;67;50;583;59;28
3.867;    ;0;318;62;-2;98;50;1;364;172;12;0;0;    ;0;500;332;1;500;332;    ;0;60;106;1;45;125;    ;376;170;50;376;170;50;569;149;28;331;67;50;583;59;28
3.913;    ;0;318;62;-1;98;50;1;364;172;12;0;0;    ;0;500;336;1;500;336;    ;0;63;106;1;47;125;    ;376;169;50;376;169;50;569;149;28;332;67;50;583;59;28
3.957;    ;0;318;62;-1;98;50;1;364;172;12;0;0;    ;0;500;334;1;500;334;    ;0;65;106;1;48;125;    ;376;169;50;376;169;50;569;149;28;331;67;50;583;59;28
4.014;    ;0;318;62;-1;98;50;1;364;172;12;0;0;    ;0;500;336;1;500;336;    ;0;66;106;1;50;125;    ;376;169;50;376;169;50;569;149;28;331;67;50;583;59;28
4.068;    ;0;318;62;-2;98;50;1;364;172;12;0;0;    ;0;500;332;1;500;332;    ;0;69;106;1;51;125;    ;376;170;50;376;170;50;569;151;28;332;67;50;583;59;28
4.115;    ;0;318;62;0;98;50;1;364;172;12;0;0;    ;0;500;333;1;500;333;    ;0;71;106;1;53;125;    ;376;170;50;376;170;50;569;149;28;331;67;50;583;59;28
4.165;    ;0;318;62;-1;98;50;1;364;172;12;0;0;    ;0;500;333;1;500;333;    ;0;73;106;1;55;125;    ;376;170;50;376;170;50;569;149;28;332;68;50;583;61;27
4.209;    ;0;318;62;0;98;50;1;364;172;12;0;0;    ;0;500;334;1;500;334;    ;0;76;106;1;56;125;    ;376;170;50;376;170;50;569;149;28;331;67;50;583;59;28
4.253;    ;0;318;62;-1;98;50;1;364;171;12;0;0;    ;0;500;333;1;500;333;    ;0;78;106;1;58;125;    ;376;170;50;376;170;50;569;151;28;332;68;50;583;61;27
4.296;    ;0;318;62;-2;98;50;1;364;172;12;0;0;    ;0;500;332;1;500;332;    ;0;79;106;1;59;125;    ;376;170;50;376;170;50;569;149;28;331;67;50;583;59;28
4.340;    ;0;318;62;-2;98;50;1;364;172;12;0;0;    ;0;500;332;1;500;332;    ;0;81;106;1;61;125;    ;376;170;50;376;170;50;569;149;28;331;67;50;583;59;28
