Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
3.613;    ;0;620;62;-2;99;50;1;641;160;2;101;48;    ;300;200;    ;0;0;    
3.636;    ;0;620;62;-2;99;50;1;641;160;2;101;48;    ;0;500;74;1;500;160;    ;0;0;102;1;0;112;    
3.656;    ;0;620;62;-2;99;50;1;641;160;2;101;48;    ;0;500;74;1;500;160;    ;0;0;86;1;0;107;    
3.681;    ;1;641;160;2;101;48;    ;0;500;74;1;500;160;    ;0;0;86;1;0;107;    
3.713;    ;1;641;160;2;101;48;    ;0;500;74;1;500;160;    ;1;0;107;    
3.748;    ;0;620;62;-2;99;50;1;641;160;2;101;48;    ;0;500;74;1;500;160;    ;1;0;107;    
3.799;    ;1;641;160;2;101;48;    ;0;500;75;1;500;161;    ;0;0;86;1;0;107;    
3.830;    ;1;641;160;2;101;48;    ;0;500;75;1;500;161;    ;1;0;107;    
3.853;    ;0;620;62;-2;99;50;1;641;160;2;101;48;    ;0;500;75;1;500;161;    ;1;0;107;    
3.892;    ;0;620;62;-2;99;50;1;641;160;2;101;48;    ;0;500;75;1;500;161;    ;0;0;86;1;0;107;    
3.925;    ;1;641;160;2;101;48;    ;0;500;75;1;500;161;    ;0;0;86;1;0;107;    
3.945;    ;1;641;160;2;101;48;    ;0;500;75;1;500;161;    ;1;0;107;    
3.980;    ;0;620;62;-2;99;50;1;641;160;2;101;48;    ;0;500;75;1;500;161;    ;1;0;107;    
4.015;    ;1;641;160;2;101;48;    ;0;500;74;1;500;160;    ;0;0;86;1;0;107;    
4.066;    ;0;620;62;-2;99;50;1;641;160;2;101;48;    ;0;500;74;1;500;160;    ;1;0;107;    
4.093;    ;0;620;62;-2;99;50;1;641;160;2;101;48;    ;0;500;74;1;500;160;    ;0;0;86;1;0;107;    
4.116;    ;1;641;160;2;101;48;    ;0;500;74;1;500;160;    ;0;0;86;1;0;107;    
4.151;    ;0;620;62;-2;99;50;1;641;160;3;101;48;    ;0;500;74;1;500;160;    ;1;0;107;    
4.185;    ;1;641;160;2;101;48;    ;0;500;74;1;500;160;    ;0;0;86;1;0;108;    
