Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
3.519;    ;1;515;139;-1;90;43;    ;300;200;    ;0;0;    
3.542;    ;1;515;139;0;90;41;    ;1;499;240;    ;1;0;125;    
3.572;    ;1;515;139;-1;90;43;    ;1;499;70;    ;1;150;105;    
3.607;    ;1;515;139;-1;90;43;    ;1;498;68;    ;1;0;85;    
3.638;    ;1;515;139;-1;90;43;    ;1;498;68;    ;1;0;85;    
3.671;    ;1;515;139;-1;90;43;    ;1;497;68;    ;1;0;85;    
3.705;    ;1;515;139;0;90;41;    ;1;497;68;    ;1;0;85;    
3.743;    ;1;515;139;-1;90;43;    ;1;496;73;    ;1;0;85;    
3.770;    ;1;515;139;-1;90;43;    ;1;496;68;    ;1;0;85;    
3.804;    ;1;515;139;-1;90;43;    ;1;495;68;    ;1;0;85;    
3.833;    ;1;515;139;-1;90;43;    ;1;495;68;    ;1;0;85;    
3.867;    ;1;516;139;-1;90;43;    ;1;494;68;    ;1;0;85;    
3.900;    ;1;520;139;-1;89;43;    ;1;494;68;    ;1;0;85;    
3.942;    ;1;525;139;-1;89;43;    ;1;493;68;    ;1;0;85;    
3.974;    ;1;530;140;-1;90;44;    ;1;493;68;    ;1;0;85;    
4.009;    ;1;534;140;-1;90;43;    ;1;492;68;    ;1;0;85;    
4.039;    ;1;538;140;0;91;43;    ;1;492;68;    ;1;0;85;    
4.071;    ;1;541;140;0;91;41;    ;1;491;68;    ;1;0;85;    
4.108;    ;1;544;140;0;90;43;    ;1;491;70;    ;1;0;85;    
4.140;    ;1;547;140;0;91;44;    ;1;490;68;    ;1;0;85;    
4.172;    ;1;549;140;0;91;44;    ;1;490;68;    ;1;0;85;    
4.208;    ;1;551;140;0;91;43;    ;1;489;68;    ;1;0;85;    
4.240;    ;1;553;140;0;90;40;    ;1;489;68;    ;1;0;85;    
4.272;    ;1;554;139;0;91;43;    ;1;488;70;    ;1;0;85;    
4.309;    ;1;556;139;0;91;44;    ;1;488;68;    ;1;0;85;    
4.340;    ;1;556;139;0;90;40;    ;1;487;68;    ;1;0;85;    
4.372;    ;1;557;139;0;91;44;    ;1;487;70;    ;1;0;85;    
4.408;    ;1;557;139;0;91;44;    ;1;486;68;    ;1;0;85;    
4.432;    ;1;556;139;0;90;44;    ;1;486;68;    ;1;0;85;    
4.463;    ;1;556;139;0;90;44;    ;1;485;68;    ;1;0;85;    
4.499;    ;1;556;139;0;91;44;    ;1;485;68;    ;1;0;85;    
4.536;    ;1;556;139;0;91;44;    ;1;484;68;    ;1;0;85;    
4.571;    ;1;556;139;0;90;44;    ;1;484;68;    ;1;0;85;    
4.607;    ;1;556;139;0;90;44;    ;1;483;68;    ;1;0;85;    
4.640;    ;1;556;139;0;90;44;    ;1;483;68;    ;1;0;85;    
4.668;    ;1;556;139;0;90;44;    ;1;482;68;    ;1;0;85;    
4.705;    ;1;556;139;0;90;40;    ;1;482;68;    ;1;0;85;    
4.739;    ;1;556;139;0;89;43;    ;1;481;70;    ;1;0;85;    
4.769;    ;1;556;139;0;91;44;    ;1;481;68;    ;1;0;85;    
4.806;    ;1;556;139;0;90;43;    ;1;480;68;    ;1;0;85;    
4.831;    ;1;556;139;0;90;44;    ;1;480;68;    ;1;0;85;    
4.866;    ;1;556;139;0;90;44;    ;1;479;68;    ;1;0;85;    
4.904;    ;1;556;139;0;89;39;    ;1;479;68;    ;1;0;85;    
4.930;    ;1;556;139;0;90;44;    ;1;478;70;    ;1;0;85;    
4.962;    ;1;556;139;0;89;43;    ;1;478;68;    ;1;0;85;    
4.997;    ;1;556;139;0;89;43;    ;1;477;68;    ;1;0;85;    
5.030;    ;1;556;139;0;89;43;    ;1;477;68;    ;1;0;85;    
5.062;    ;1;556;139;0;90;40;    ;1;476;68;    ;1;0;85;    
5.098;    ;1;556;139;0;90;40;    ;1;476;70;    ;1;0;85;    
5.130;    ;1;556;139;0;90;40;    ;1;475;70;    ;1;0;85;    
5.162;    ;1;556;139;0;90;44;    ;1;475;70;    ;1;0;85;    
5.198;    ;1;556;139;0;90;44;    ;1;474;68;    ;1;0;85;    
5.229;    ;1;556;139;0;90;44;    ;1;474;68;    ;1;0;85;    
5.269;    ;1;556;139;0;89;43;    ;1;473;68;    ;1;0;85;    
5.307;    ;1;556;139;0;91;44;    ;1;473;68;    ;1;0;85;    
5.340;    ;1;556;139;0;89;39;    ;1;472;68;    ;1;0;85;    
5.368;    ;1;556;139;0;90;44;    ;1;472;70;    ;1;0;85;    
5.406;    ;1;556;139;0;90;44;    ;1;471;68;    ;1;0;85;    
5.438;    ;1;556;139;0;90;44;    ;1;471;68;    ;1;0;85;    
5.470;    ;1;556;139;0;90;44;    ;1;470;68;    ;1;0;85;    
5.506;    ;1;556;139;0;90;44;    ;1;470;68;    ;1;0;85;    
5.537;    ;1;556;139;0;91;44;    ;1;469;68;    ;1;0;85;    
5.569;    ;1;556;139;0;89;43;    ;1;469;71;    ;1;0;85;    
5.611;    ;1;556;139;0;89;43;    ;1;468;68;    ;1;0;85;    
5.631;    ;1;556;139;0;90;44;    ;1;468;68;    ;1;0;85;    
5.669;    ;1;556;139;0;89;39;    ;1;467;68;    ;1;0;85;    
5.708;    ;1;556;139;0;90;44;    ;1;467;70;    ;1;0;85;    
5.738;    ;1;556;139;0;89;39;    ;1;466;68;    ;1;0;85;    
5.772;    ;1;556;139;0;89;43;    ;1;466;70;    ;1;0;85;    
5.808;    ;1;556;139;0;89;39;    ;1;465;68;    ;1;0;85;    
