Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
3.553;    ;0;141;42;0;94;45;1;276;52;2;88;44;    ;300;200;    ;0;0;    
3.569;    ;1;276;52;1;88;45;    ;0;499;53;1;500;215;    ;0;150;106;1;150;125;    
3.604;    ;0;141;42;0;94;45;1;276;52;1;88;45;    ;0;499;53;1;500;215;    ;1;150;125;    
3.635;    ;1;276;53;1;88;45;    ;0;499;215;1;499;53;    ;0;150;88;1;69;125;    
3.668;    ;0;142;42;0;94;45;1;276;53;1;88;45;    ;0;499;215;1;499;53;    ;1;63;106;    
3.704;    ;0;142;42;0;94;45;1;276;53;1;88;45;    ;0;499;215;1;498;53;    ;0;113;106;1;73;106;    
3.740;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;213;1;498;53;    ;0;120;106;1;68;106;    
3.770;    ;1;276;52;1;88;45;    ;0;500;215;1;497;53;    ;0;130;106;1;76;106;    
3.807;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;497;53;    ;1;70;106;    
3.840;    ;0;141;42;0;94;46;1;276;52;1;88;45;    ;0;500;215;1;496;53;    ;0;129;106;1;79;106;    
3.871;    ;1;276;52;1;88;45;    ;0;500;213;1;496;53;    ;0;139;106;1;73;106;    
3.908;    ;1;276;52;1;88;45;    ;0;500;213;1;496;53;    ;1;82;106;    
3.939;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;213;1;496;53;    ;1;84;106;    
3.976;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;494;53;    ;0;138;106;1;86;106;    
4.007;    ;1;276;53;1;88;45;    ;0;500;215;1;494;53;    ;0;143;106;1;74;106;    
4.037;    ;1;276;53;1;88;45;    ;0;500;215;1;494;53;    ;1;89;106;    
4.069;    ;1;276;52;1;88;45;    ;0;500;215;1;494;53;    ;1;91;106;    
4.107;    ;1;276;53;1;88;45;    ;0;500;215;1;494;53;    ;1;92;106;    
4.139;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;494;53;    ;1;94;106;    
4.171;    ;1;276;53;1;88;45;    ;0;500;215;1;491;53;    ;0;150;106;1;96;106;    
4.207;    ;1;276;53;1;88;45;    ;0;500;215;1;491;53;    ;1;74;106;    
4.240;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;491;53;    ;1;99;106;    
4.271;    ;1;276;53;1;88;45;    ;0;500;215;1;490;53;    ;0;150;106;1;100;106;    
4.307;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;490;53;    ;1;94;106;    
4.339;    ;1;276;53;1;88;45;    ;0;500;215;1;489;53;    ;0;150;106;1;103;106;    
4.370;    ;1;276;53;1;88;45;    ;0;500;215;1;489;53;    ;1;97;106;    
4.407;    ;1;276;52;1;88;45;    ;0;500;215;1;489;53;    ;1;106;106;    
4.440;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;489;53;    ;1;108;106;    
4.470;    ;1;276;53;1;88;45;    ;0;500;215;1;487;53;    ;0;150;106;1;110;106;    
4.507;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;487;53;    ;1;95;106;    
4.539;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;486;53;    ;0;150;106;1;113;106;    
4.571;    ;1;276;53;1;88;45;    ;0;500;215;1;485;53;    ;0;150;106;1;106;106;    
4.608;    ;1;276;53;1;88;45;    ;0;500;215;1;485;53;    ;1;108;106;    
4.640;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;485;53;    ;1;117;106;    
4.664;    ;1;276;52;1;88;45;    ;0;500;215;1;484;53;    ;0;150;106;1;119;106;    
4.706;    ;0;142;42;0;94;45;1;276;53;1;88;45;    ;0;500;215;1;484;53;    ;1;110;106;    
4.733;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;483;53;    ;0;150;106;1;122;106;    
4.764;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;215;1;482;53;    ;0;150;106;1;114;106;    
4.800;    ;1;276;53;1;88;45;    ;0;500;213;1;482;53;    ;0;150;106;1;116;106;    
4.836;    ;1;276;53;1;88;45;    ;0;500;213;1;482;53;    ;1;126;106;    
4.865;    ;1;276;53;1;88;45;    ;0;500;213;1;482;53;    ;1;128;106;    
4.901;    ;0;142;42;0;94;45;1;276;53;1;88;45;    ;0;500;213;1;482;53;    ;1;129;106;    
4.932;    ;0;142;42;0;94;45;1;276;53;1;88;45;    ;0;500;215;1;480;53;    ;0;150;106;1;131;106;    
4.968;    ;1;276;53;1;88;45;    ;0;500;215;1;479;53;    ;0;150;106;1;116;106;    
5.001;    ;1;276;53;1;88;45;    ;0;500;215;1;479;53;    ;1;127;106;    
5.034;    ;1;276;52;1;88;45;    ;0;500;215;1;479;53;    ;1;135;106;    
5.067;    ;1;276;53;1;88;45;    ;0;500;215;1;479;53;    ;1;136;106;    
5.103;    ;1;276;53;2;88;45;    ;0;500;215;1;479;53;    ;1;138;106;    
5.135;    ;1;276;53;1;88;45;    ;0;500;215;1;479;53;    ;1;140;107;    
5.166;    ;1;276;53;1;88;45;    ;0;500;215;1;479;53;    ;1;141;106;    
5.202;    ;1;276;53;1;88;45;    ;0;500;215;1;479;53;    ;1;143;106;    
5.235;    ;1;276;53;1;88;45;    ;0;500;215;1;479;53;    ;1;145;106;    
5.268;    ;0;142;42;0;94;45;1;276;53;1;88;45;    ;0;500;215;1;479;53;    ;1;146;106;    
5.306;    ;1;276;52;1;88;45;    ;0;500;215;1;474;53;    ;0;150;106;1;148;106;    
5.339;    ;0;142;42;0;94;45;1;276;53;1;88;45;    ;0;500;215;1;474;53;    ;1;117;106;    
5.370;    ;0;142;42;0;94;45;1;276;53;1;88;45;    ;0;500;215;1;473;53;    ;0;150;106;1;150;106;    
5.406;    ;1;276;52;1;88;45;    ;0;500;213;1;473;53;    ;0;150;106;1;143;106;    
5.438;    ;1;276;53;1;88;45;    ;0;500;213;1;473;53;    ;1;150;106;    
5.470;    ;1;276;53;1;88;45;    ;0;500;213;1;473;53;    ;1;150;106;    
5.507;    ;0;142;42;0;94;45;1;276;53;1;88;45;    ;0;500;213;1;473;53;    ;1;150;106;    
5.538;    ;0;142;42;0;94;45;1;276;52;1;88;45;    ;0;500;213;1;471;53;    ;0;150;106;1;150;106;    
5.570;    ;1;276;53;1;88;45;    ;0;500;215;1;470;53;    ;0;150;106;1;142;106;    
