Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
2.997;    ;0;554;234;0;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;    
3.014;    ;0;554;233;-1;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.051;    ;0;554;234;0;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.081;    ;0;554;233;0;90;43;1;453;176;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.115;    ;0;554;234;0;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.151;    ;0;554;234;-1;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.183;    ;0;554;234;-2;90;43;1;453;175;1;88;43;    ;300;200;    ;0;0;57;1;0;143;    
3.215;    ;0;554;234;-2;90;43;1;453;176;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.251;    ;0;554;233;-2;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.283;    ;0;554;233;-2;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.315;    ;0;554;233;-2;90;43;1;453;176;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.351;    ;0;554;233;-1;90;43;1;453;175;1;88;43;    ;300;200;    ;0;0;57;1;0;143;    
3.383;    ;0;554;233;-2;90;43;1;453;175;1;88;43;    ;300;200;    ;0;0;57;1;0;143;    
3.415;    ;0;554;233;-2;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.451;    ;0;554;233;-1;90;43;1;453;176;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.483;    ;0;554;233;-1;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.515;    ;0;554;233;-2;90;43;1;453;176;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.551;    ;0;554;233;-1;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
3.583;    ;0;554;233;-2;90;43;1;453;175;1;87;43;    ;300;200;    ;0;0;57;1;0;143;    
