Time (s);    ;car_position;   ;input;    ;command;   ;treadmill;     ;obstacles;
15.105;    ;0;554;59;2;0;0;1;562;160;3;0;0;    ;300;200;    ;0;0;109;1;0;117;    ;320;177;90;32;117;200;285;    ;
15.137;    ;0;553;59;2;0;0;1;562;159;1;0;0;    ;300;200;    ;0;0;109;1;0;115;    ;320;177;90;32;117;200;285;    ;
15.165;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;114;    ;320;177;90;32;117;200;285;    ;
15.202;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
15.232;    ;0;554;59;3;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
15.266;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;110;1;0;111;    ;320;177;90;33;117;200;285;    ;
15.300;    ;0;554;59;2;0;0;1;562;159;-3;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
15.327;    ;0;554;59;2;0;0;1;562;159;-1;0;0;    ;300;200;    ;0;0;109;1;0;110;    ;320;177;90;33;117;200;285;    ;
15.365;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;112;    ;320;177;90;33;117;200;285;    ;
15.402;    ;0;554;59;2;0;0;1;562;160;-3;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
15.434;    ;0;554;59;3;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;109;    ;320;177;90;32;117;200;285;    ;
15.461;    ;0;554;59;3;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;110;1;0;111;    ;320;177;90;32;117;200;285;    ;
15.501;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;110;1;0;111;    ;320;177;90;34;117;200;285;    ;
15.530;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
15.563;    ;0;554;59;2;0;0;1;562;160;-3;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
15.602;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;109;    ;320;177;90;34;117;200;285;    ;
15.631;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
15.663;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
15.704;    ;0;554;59;2;0;0;1;562;159;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;32;117;200;285;    ;
15.734;    ;0;554;59;3;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;112;    ;320;177;90;33;117;200;285;    ;
15.766;    ;0;554;59;3;0;0;1;562;160;-3;0;0;    ;300;200;    ;0;0;110;1;0;111;    ;320;177;90;32;117;200;285;    ;
15.802;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;110;1;0;109;    ;320;177;90;34;117;200;285;    ;
15.831;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
15.863;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
15.900;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
15.934;    ;0;554;59;3;0;0;1;562;160;-3;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
15.962;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;110;1;0;109;    ;320;177;90;33;117;200;285;    ;
16.000;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
16.034;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
16.072;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
16.105;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
16.131;    ;0;554;59;2;0;0;1;562;160;-3;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
16.166;    ;0;554;59;3;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;109;    ;320;177;90;34;117;200;285;    ;
16.202;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;110;1;0;111;    ;320;177;90;34;117;200;285;    ;
16.230;    ;0;554;59;2;0;0;1;562;160;-3;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
