Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
4.130;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.167;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.198;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.231;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.267;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.298;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.331;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.368;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.397;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.431;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.470;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.497;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.529;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.566;    ;0;699;72;1;99;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.598;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.630;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.667;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.700;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.731;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;234;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.767;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.799;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;108;    
4.830;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;47;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.867;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;6;100;46;    ;0;500;74;1;500;158;2;500;244;    ;0;0;87;1;0;108;2;150;107;    
4.898;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.930;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.967;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;234;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
4.999;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;234;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
5.033;    ;0;699;72;1;100;49;1;670;156;3;100;48;2;123;235;5;100;46;    ;0;500;74;1;500;159;2;500;246;    ;0;0;87;1;0;108;2;150;107;    
