Time (s);    ;car_position;   ;input;    ;command;   ;treadmill;     ;obstacles;
3.762;    ;1;653;62;0;93;49;    ;300;200;    ;0;0;    ;    ;
3.783;    ;1;653;62;0;92;49;    ;1;500;240;    ;1;0;136;    ;353;190;90;28;110;184;268;344;    ;
3.807;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;134;    ;353;190;90;28;110;183;268;344;    ;
3.834;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;184;268;344;    ;
3.860;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
3.891;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
3.926;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
3.955;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
3.990;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.026;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.076;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.097;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.128;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.159;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.191;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.225;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.261;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;184;268;344;    ;
4.286;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;184;268;344;    ;
4.329;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;184;268;344;    ;
4.361;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.392;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.428;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.459;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;184;268;344;    ;
4.491;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;183;268;344;    ;
4.527;    ;1;653;62;0;93;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;184;268;344;    ;
4.558;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;184;268;344;    ;
4.590;    ;1;653;62;0;92;49;    ;1;500;69;    ;1;0;107;    ;353;190;90;28;110;184;268;344;    ;
