Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
2.965;    ;0;552;207;7;104;64;    ;300;200;    ;0;0;    
2.984;    ;0;560;211;6;104;61;    ;0;400;240;    ;0;0;57;    
3.020;    ;0;567;214;6;104;60;    ;0;400;196;    ;0;0;137;    
3.052;    ;0;575;216;8;106;60;    ;0;400;196;    ;0;0;57;    
3.084;    ;0;581;218;13;106;63;    ;0;400;196;    ;0;0;57;    
3.120;    ;0;586;219;15;106;64;    ;0;400;196;    ;0;0;97;    
3.154;    ;0;591;221;15;106;63;    ;0;400;196;    ;0;0;97;    
3.185;    ;0;594;221;17;106;64;    ;0;400;196;    ;0;0;97;    
3.221;    ;0;597;222;21;108;68;    ;0;400;195;    ;0;0;97;    
3.253;    ;0;599;221;17;106;62;    ;0;400;196;    ;0;0;97;    
3.285;    ;0;600;220;17;106;63;    ;0;400;196;    ;0;0;97;    
3.321;    ;0;601;220;18;106;64;    ;0;400;196;    ;0;0;97;    
3.352;    ;0;601;220;18;106;63;    ;0;400;196;    ;0;0;97;    
3.385;    ;0;601;220;18;106;63;    ;0;400;196;    ;0;0;97;    
3.420;    ;0;601;220;18;107;62;    ;0;400;196;    ;0;0;97;    
3.452;    ;0;602;220;8;107;52;    ;0;400;196;    ;0;0;97;    
3.484;    ;0;603;221;5;107;49;    ;0;400;196;    ;0;0;57;    
3.521;    ;0;604;220;5;106;48;    ;0;400;196;    ;0;0;57;    
3.552;    ;0;606;220;5;104;48;    ;0;400;196;    ;0;0;57;    
3.585;    ;0;606;220;6;105;49;    ;0;400;196;    ;0;0;57;    
3.621;    ;0;607;220;5;105;49;    ;0;400;196;    ;0;0;57;    
3.652;    ;0;607;221;5;108;49;    ;0;400;195;    ;0;0;57;    
3.685;    ;0;607;220;5;108;48;    ;0;400;196;    ;0;0;57;    
3.721;    ;0;607;220;6;95;49;    ;0;400;196;    ;0;0;57;    
3.753;    ;0;607;220;6;99;49;    ;0;400;196;    ;0;0;57;    
3.784;    ;0;607;220;2;114;45;    ;0;400;196;    ;0;0;57;    
3.821;    ;0;607;220;1;93;43;    ;0;400;196;    ;0;0;57;    
3.852;    ;0;607;220;0;93;43;    ;0;400;196;    ;0;0;57;    
3.884;    ;0;607;220;0;93;43;    ;0;400;196;    ;0;0;57;    
3.921;    ;0;607;220;0;93;43;    ;0;400;196;    ;0;0;57;    
3.952;    ;0;607;220;0;93;43;    ;0;400;195;    ;0;0;57;    
3.984;    ;0;607;220;0;93;43;    ;0;400;195;    ;0;0;57;    
4.020;    ;0;607;220;0;93;43;    ;0;400;196;    ;0;0;57;    
4.052;    ;0;607;220;0;92;42;    ;0;400;195;    ;0;0;57;    
4.084;    ;0;607;220;0;93;43;    ;0;400;195;    ;0;0;57;    
4.120;    ;0;607;220;0;92;42;    ;0;400;195;    ;0;0;57;    
4.152;    ;0;607;220;0;91;42;    ;0;400;196;    ;0;0;57;    
4.184;    ;0;607;220;0;91;42;    ;0;400;196;    ;0;0;57;    
4.220;    ;0;607;220;0;92;42;    ;0;400;196;    ;0;0;57;    
4.258;    ;0;607;220;0;92;42;    ;0;400;196;    ;0;0;57;    
4.286;    ;0;607;220;0;92;42;1;585;80;-90;0;0;    ;0;400;196;    ;0;0;57;    
4.320;    ;0;607;220;0;92;42;1;585;80;-90;0;0;    ;0;550;246;1;400;146;    ;0;0;57;1;0;103;    
4.352;    ;0;607;220;0;92;42;1;585;80;-90;0;0;    ;0;550;246;1;400;146;    ;0;0;97;1;0;103;    
4.384;    ;0;607;220;0;91;42;1;585;80;-3;92;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;103;    
4.420;    ;0;607;220;0;92;43;1;585;80;-3;92;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
4.452;    ;0;607;220;0;91;42;1;585;80;-3;92;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
4.484;    ;0;607;220;0;91;42;1;585;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
4.520;    ;0;607;220;0;91;42;1;585;80;-3;92;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
4.552;    ;0;607;220;0;91;42;1;585;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
4.584;    ;0;607;220;0;92;42;1;585;80;-3;92;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
4.620;    ;0;607;220;0;91;42;1;585;80;-3;92;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
4.652;    ;0;607;220;0;92;43;1;585;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
4.684;    ;0;607;220;0;92;42;1;585;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
4.720;    ;0;607;220;0;91;42;1;585;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
4.752;    ;0;607;220;0;91;42;1;585;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
4.784;    ;0;607;220;0;91;42;1;585;80;-3;92;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
4.820;    ;0;607;220;0;91;42;1;585;80;-3;92;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
4.852;    ;0;607;220;0;91;42;1;585;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
4.884;    ;0;607;220;0;91;42;1;585;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
4.920;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
4.952;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
4.984;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.020;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.052;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.084;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.120;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.152;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.185;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.221;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.253;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.285;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.321;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.353;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.385;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.421;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.453;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.485;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.521;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.553;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.585;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.621;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.653;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.685;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
